"istatId","population","lng","lat","ANPR","name","province","region","month","d15","d16","d17","d18","d19","d20","mar19","mar20","officialCovid","istatMarch","ecoBG","bsToday"
"1049","1382","7.32503803","44.80212440",NULL,"Campiglione Fenile","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1050","1286","7.88661250","45.32816809","1050","Candia Canavese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1051","5566","7.60121104","44.96026547",NULL,"Candiolo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1052","294","7.59521831","45.37434585","1052","Canischio","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1053","2527","7.33260383","44.94030975","1053","Cantalupa","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1054","554","7.38167977","45.34323553","1054","Cantoira","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1055","2116","7.33250655","45.11786515","1055","Caprie","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1056","995","7.96021360","45.39860532","1056","Caravino","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1057","772","7.81230448","45.58444747","1057","Carema","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1058","9156","7.67534298","44.90666664","1058","Carignano","Torino","Piemonte","3","10","12","8","7","6","12","0","0","0","1","0","0"
"1059","28563","7.71815745","44.84654865","1059","Carmagnola","Torino","Piemonte","3","14","21","21","30","28","39","0","0","0","1","0","0"
"1060","1820","7.94044052","45.12996270","1060","Casalborgone","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1061","1491","7.90469845","45.47845422","1061","Cascinette d'Ivrea","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1062","2931","7.48320717","45.10588105","1062","Caselette","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1063","13389","7.64818634","45.17716554","1063","Caselle Torinese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1064","1791","7.88698844","45.16060833","1064","Castagneto Po","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1065","2193","7.56655619","44.89861960","1065","Castagnole Piemonte","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1066","9917","7.70986533","45.38333540","1066","Castellamonte","Torino","Piemonte","3","11","12","8","5","12","13","0","0","0","1","0","0"
"1067","417","7.69511431","45.43732305","1067","Castelnuovo Nigra","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1068","6363","7.81609370","45.12330917",NULL,"Castiglione Torinese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1069","2309","8.05131021","45.15207451",NULL,"Cavagnolo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1070","5568","7.37523198","44.78403126",NULL,"Cavour","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1071","1857","7.50125803","44.86126074","1071","Cercenasco","Torino","Piemonte","3","3","3","1","2","1","4","0","0","0","1","0","0"
"1072","1056","7.38934335","45.31307899","1072","Ceres","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1073","159","7.23254114","45.43261794","1073","Ceresole Reale","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1074","1007","6.79422776","44.95241086","1074","Cesana Torinese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1075","364","7.34570078","45.36285948",NULL,"Chialamberto","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1076","1700","7.16939346","45.14858580","1076","Chianocco","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1077","2106","7.90312753","45.49939701","1077","Chiaverano","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1078","35962","7.82107157","45.01315317","1078","Chieri","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1079","203","7.65605931","45.41780821","1079","Chiesanuova","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1080","932","6.98338614","45.11938583","1080","Chiomonte","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1081","1691","7.32644490","45.10154711","1081","Chiusa di San Michele","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1082","25914","7.88713950","45.18855522","1082","Chivasso","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1083","371","7.75987216","45.33032199","1083","Ciconio","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1084","261","7.68662115","45.42805026","1084","Cintano","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1085","375","7.92112148","45.09389859","1085","Cinzano","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1086","18415","7.60378213","45.23202337","1086","Ciri�","Torino","Piemonte","3","22","23","23","22","18","24","0","0","0","1","0","0"
"1087","192","6.74930630","44.93861812","1087","Claviere","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1088","1550","7.46132937","45.30071349","1088","Coassolo Torinese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1089","3084","7.29464354","45.05141806",NULL,"Coazze","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1090","49083","7.56912947","45.07740152","1090","Collegno","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1091","347","7.67898169","45.42140642","1091","Colleretto Castelnuovo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1092","603","7.79996443","45.43288813","1092","Colleretto Giacosa","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1093","4670","7.31072991","45.11714338","1093","Condove","Torino","Piemonte","3","4","3","4","6","4","5","0","0","0","1","0","0"
"1094","3330","7.53256155","45.31274311","1094","Corio","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1095","522","7.99337324","45.38833099","1095","Cossano Canavese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1096","997","7.81484395","45.35892893","1096","Cuceglio","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1097","7825","7.37437677","44.98279566","1097","Cumiana","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1098","10084","7.64891501","45.39122707","1098","Cuorgn�","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1099","8436","7.57620424","45.13473277",NULL,"Druento","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1100","266","6.92962420","45.09749088","1100","Exilles","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1101","5230","7.68801437","45.33284709","1101","Favria","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1102","2269","7.74710800","45.30549111","1102","Feletto","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1103","553","7.05188671","45.03429618",NULL,"Fenestrelle","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1104","2713","7.51978357","45.21812133","1104","Fiano","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1105","837","7.82897738","45.46756986","1105","Fiorano Canavese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1106","2331","7.82317874","45.27201738","1106","Foglizzo","Torino","Piemonte","3","4","6","0","3","2","4","0","0","0","1","0","0"
"1107","3612","7.58678049","45.34683712","1107","Forno Canavese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1108","272","7.60567906","45.43603247","1108","Frassinetto","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1109","1726","7.66559657","45.27955070","1109","Front","Torino","Piemonte","3","2","3","2","4","5","4","0","0","0","1","0","0"
"1110","2840","7.35077043","44.93362239","1110","Frossasco","Torino","Piemonte","3","3","4","7","1","4","5","0","0","0","1","0","0"
"1111","557","7.37473116","44.83677569","1111","Garzigliana","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
