"istatId","name","month","d15","d16","d17","d18","d19","d20","istatMarch","ecoBG","bsToday","mar19","mar20","officialCovid","population","nameItSt","lng","lat"
"1112","Gassino Torinese","3","10","8","7","9","7","12","1","0","0","0","0","0","9536","Gassino Torinese","7.82489660","45.12745280"
"1120","Grugliasco","3","31","28","41","29","28","49","1","0","0","0","0","0","37194","Grugliasco","7.57780057","45.06211095"
"1125","Ivrea","3","24","23","26","31","26","29","1","0","0","0","0","0","23592","Ivrea","7.87596694","45.46618879"
"1128","Lanzo Torinese","3","6","5","8","2","8","11","1","0","0","0","0","0","5150","Lanzo Torinese","7.47661560","45.27231992"
"1139","Luserna San Giovanni","3","13","9","14","14","13","15","1","0","0","0","0","0","7531","Luserna San Giovanni","7.24579065","44.81432177"
"1146","Mathi","3","5","1","4","6","2","6","1","0","0","0","0","0","3985","Mathi","7.54132093","45.25664137"
"1161","Montanaro","3","5","4","12","3","6","8","1","0","0","0","0","0","5375","Montanaro","7.85282569","45.23289425"
"1164","Nichelino","3","28","41","42","41","39","50","1","0","0","0","0","0","47851","Nichelino","7.64737268","44.99519052"
"1166","Nole","3","4","6","6","3","3","6","1","0","0","0","0","0","6910","Nole","7.57012122","45.24523673"
"1168","None","3","5","6","5","5","7","9","1","0","0","0","0","0","7998","None","7.54123958","44.93231301"
"1171","Orbassano","3","22","22","14","28","21","30","1","0","0","0","0","0","22537","Orbassano","7.53695676","45.00703303"
"1178","Pancalieri","3","1","1","6","3","0","5","1","0","0","0","0","0","1985","Pancalieri","7.58816166","44.83047398"
"1181","Pavone Canavese","3","4","3","5","1","3","4","1","0","0","0","0","0","3890","Pavone Canavese","7.85397607","45.43526120"
"1184","Perosa Argentina","3","4","3","4","3","4","7","1","0","0","0","0","0","3405","Perosa Argentina","7.19237022","44.95809915"
"1194","Piossasco","3","11","22","13","17","10","29","1","0","0","0","0","0","18186","Piossasco","7.46275512","44.99070006"
"1195","Piscina","3","2","3","4","5","3","10","1","0","0","0","0","0","3450","Piscina","7.42589738","44.91946420"
"1197","Poirino","3","11","8","8","16","8","15","1","0","0","0","0","0","10220","Poirino","7.84361932","44.92119885"
"1215","Riva presso Chieri","3","7","2","5","3","4","5","1","0","0","0","0","0","4207","Riva presso Chieri","7.86919927","44.98628102"
"1216","Rivara","3","2","2","2","1","3","4","1","0","0","0","0","0","2666","Rivara","7.62506151","45.33231529"
"1217","Rivarolo Canavese","3","6","7","11","17","11","18","1","0","0","0","0","0","12356","Rivarolo Canavese","7.72522130","45.33279488"
"1241","Sangano","3","3","8","1","3","3","5","1","0","0","0","0","0","3807","Sangano","7.45053852","45.02623590"
"1244","San Giorgio Canavese","3","1","9","2","3","8","6","1","0","0","0","0","0","2705","San Giorgio Canavese","7.79425943","45.33544394"
"1246","San Giusto Canavese","3","0","1","4","4","1","11","1","0","0","0","0","0","3397","San Giusto Canavese","7.80833346","45.31221415"
"1249","San Mauro Torinese","3","20","12","12","17","19","31","1","0","0","0","0","0","18925","San Mauro Torinese","7.76632833","45.10309541"
"1252","San Raffaele Cimena","3","2","0","2","3","4","5","1","0","0","0","0","0","3107","San Raffaele Cimena","7.84869672","45.14722500"
"1254","San Secondo di Pinerolo","3","6","1","2","7","6","4","1","0","0","0","0","0","3608","San Secondo di Pinerolo","7.29864772","44.86656606"
"1256","Sant'Antonino di Susa","3","4","3","5","7","4","5","1","0","0","0","0","0","4333","Sant'Antonino di Susa","7.27350974","45.10708303"
"1265","Settimo Torinese","3","40","52","36","47","53","54","1","0","0","0","0","0","46873","Settimo Torinese","7.77124007","45.13698893"
