Istat,Comune,Provincia,Regione,Abitanti,2019-03,2020-03,Ufficiali Covid
17130,Paderno Franciacorta,BS,LOM,"3,765",,,
17131,Paisco Loveno,BS,LOM,200,,,
17132,Paitone,BS,LOM,"2,043",,,
17133,Palazzolo sull'Oglio,BS,LOM,"19,862",19,98,30
17134,Paratico,BS,LOM,"4,444",,,
17135,Paspardo,BS,LOM,654,,,
17136,Passirano,BS,LOM,"7,191",1,24,9
17137,Pavone del Mella,BS,LOM,"2,831",,,
17139,Pertica Alta,BS,LOM,612,,,
17140,Pertica Bassa,BS,LOM,698,,,
17141,Pezzaze,BS,LOM,"1,616",,,
17142,Pian Camuno,BS,LOM,"4,369",,,
17206,Piancogno,BS,LOM,"4,707",,,
17143,Pisogne,BS,LOM,"8,115",15,36,8
17144,Polaveno,BS,LOM,"2,715",,,
17145,Polpenazze del Garda,BS,LOM,"2,572",,,
17146,Pompiano,BS,LOM,"3,911",,,
17147,Poncarale,BS,LOM,"5,269",,,
17148,Ponte di Legno,BS,LOM,"1,771",,,
17149,Pontevico,BS,LOM,"7,221",,,
17150,Pontoglio,BS,LOM,"7,009",,,
17151,Pozzolengo,BS,LOM,"3,436",,,
17152,Pralboino,BS,LOM,"2,981",2,20,3
17153,Preseglie,BS,LOM,"1,595",,,
17154,Prestine,BS,LOM,402,,,
17155,Prevalle,BS,LOM,"6,995",,,
17156,Provaglio d'Iseo,BS,LOM,"7,137",5,17,11
17157,Provaglio Val Sabbia,BS,LOM,969,,,
17158,Puegnago sul Garda,BS,LOM,"3,258",,,
17159,Quinzano d'Oglio,BS,LOM,"6,483",6,54,13
17160,Remedello,BS,LOM,"3,404",,,
17161,Rezzato,BS,LOM,"13,429",,,
17162,Roccafranca,BS,LOM,"4,819",,,
17163,Rodengo Saiano,BS,LOM,"8,858",,,
17164,Ro� Volciano,BS,LOM,"4,496",,,
17165,Roncadelle,BS,LOM,"9,369",,,
17166,Rovato,BS,LOM,"18,352",10,77,23
17167,Rudiano,BS,LOM,"5,861",,,
17168,Sabbio Chiese,BS,LOM,"3,807",,,
17169,Sale Marasino,BS,LOM,"3,387",,,
17170,Sal�,BS,LOM,"10,740",,,
17171,San Felice del Benaco,BS,LOM,"3,424",,,
17172,San Gervasio Bresciano,BS,LOM,"2,470",,,
17138,San Paolo,BS,LOM,"4,553",7,16,10
17173,San Zeno Naviglio,BS,LOM,"4,671",1,8,5
17174,Sarezzo,BS,LOM,"13,430",,,
17175,Saviore dell'Adamello,BS,LOM,"1,021",,,
17176,Sellero,BS,LOM,"1,497",,,
17177,Seniga,BS,LOM,"1,615",,,
17178,Serle,BS,LOM,"3,119",,,
17179,Sirmione,BS,LOM,"8,150",,,
17180,Soiano del Lago,BS,LOM,"1,863",,,
17181,Sonico,BS,LOM,"1,269",,,
17182,Sulzano,BS,LOM,"1,956",,,
17183,Tavernole sul Mella,BS,LOM,"1,411",,,
17184,Tem�,BS,LOM,"1,085",,,
17185,Tignale,BS,LOM,"1,312",,,
17186,Torbole Casaglia,BS,LOM,"6,332",1,21,12
17187,Toscolano-Maderno,BS,LOM,"8,111",,,
17188,Travagliato,BS,LOM,"13,415",12,21,7
17189,Tremosine,BS,LOM,"2,154",,,
17190,Trenzano,BS,LOM,"5,551",1,12,7
17191,Treviso Bresciano,BS,LOM,568,,,
17192,Urago d'Oglio,BS,LOM,"4,052",6,16,2
