"istatId","name","month","d15","d16","d17","d18","d19","d20","istatMarch","ecoBG","bsToday","mar19","mar20","officialCovid","population","nameItSt","lng","lat"
"4163","Peveragno","3","3","3","3","3","4","4","1",,,,,,"5481","Peveragno","7.61713926","44.33001233"
"4165","Pianfei","3","4","1","2","1","1","5","1",,,,,,"2222","Pianfei","7.70975813","44.37049040"
"4180","Revello","3","2","6","2","2","1","4","1",,,,,,"4203","Revello","7.38900592","44.65466177"
"4192","Roccavione","3","2","4","5","5","0","5","1",,,,,,"2876","Roccavione","7.48125617","44.31440994"
"4208","Sanfrè","3","2","4","2","0","6","4","1",,,,,,"2901","Sanfrè","7.80354961","44.75219136"
"4240","Verzuolo","3","2","4","6","4","4","6","1",,,,,,"6409","Verzuolo","7.48312762","44.59955425"
"4241","Vezza d'Alba","3","4","2","0","1","3","5","1",,,,,,"2206","Vezza d'Alba","7.99609095","44.76390017"
"5031","Castelnuovo Don Bosco","3","1","2","4","3","2","3","1",,,,,,"3260","Castelnuovo Don Bosco","7.96362449","45.04134189"
"5080","Nizza Monferrato","3","16","6","7","7","7","15","1",,,,,,"10372","Nizza Monferrato","8.35650287","44.77361901"
"5087","Portacomaro","3","3","4","1","1","0","5","1",,,,,,"1976","Portacomaro","8.25851231","44.95711305"
"5118","Villanova d'Asti","3","6","5","1","2","2","4","1",,,,,,"5774","Villanova d'Asti","7.93722176","44.94188973"
"6003","Alessandria","3","78","88","58","65","79","91","1",,,,,,"89411","Alessandria","8.61540116","44.91297351"
"6018","Borghetto di Borbera","3","2","1","1","1","2","2","1",,,,,,"1991","Borghetto di Borbera","8.94535017","44.73105311"
"6021","Bosco Marengo","3","5","1","0","1","1","3","1",,,,,,"2531","Bosco Marengo","8.67599099","44.82209118"
"6029","Capriata d'Orba","3","0","1","0","1","2","2","1",,,,,,"1926","Capriata d'Orba","8.68893776","44.72996604"
"6039","Casale Monferrato","3","31","30","24","26","24","38","1",,,,,,"34812","Casale Monferrato","8.45260603","45.13502772"
"6043","Cassine","3","4","2","2","3","2","4","1",,,,,,"3048","Cassine","8.52548300","44.74821538"
"6047","Castellazzo Bormida","3","2","2","4","5","1","7","1",,,,,,"4566","Castellazzo Bormida","8.57711652","44.84547363"
"6053","Castelnuovo Scrivia","3","6","3","5","4","9","19","1",,,,,,"5414","Castelnuovo Scrivia","8.88163236","44.97942413"
"6081","Gavi","3","4","3","3","5","4","5","1",,,,,,"4707","Gavi","8.80360629","44.68829965"
"6132","Pontecurone","3","6","4","5","0","1","8","1",,,,,,"3850","Pontecurone","8.93593783","44.95884144"
"6140","Predosa","3","4","2","4","2","2","6","1",,,,,,"2092","Predosa","8.65923977","44.75272978"
"6151","Sale","3","5","0","3","2","10","7","1",,,,,,"4218","Sale","8.80897055","44.98474756"
"6154","San Salvatore Monferrato","3","4","2","2","3","4","4","1",,,,,,"4449","San Salvatore Monferrato","8.56669038","44.99480511"
"6160","Serravalle Scrivia","3","6","8","5","4","6","8","1",,,,,,"6322","Serravalle Scrivia","8.85899164","44.71947066"
"6161","Sezzadio","3","1","1","0","2","0","3","1",,,,,,"1294","Sezzadio","8.57272968","44.78558679"
"6168","Strevi","3","3","0","1","1","1","3","1",,,,,,"2039","Strevi","8.52245997","44.69866281"
"6174","Tortona","3","28","23","19","26","17","52","1",,,,,,"25986","Tortona","8.86015893","44.89474291"
"6177","Valenza","3","18","22","12","18","14","28","1",,,,,,"19671","Valenza","8.64622619","45.01446704"
"6180","Vignole Borbera","3","1","3","2","0","3","3","1",,,,,,"2245","Vignole Borbera","8.89055880","44.70829074"
"7003","Aosta","3","24","25","20","27","27","34","1",,,,,,"34102","Aosta","7.32014937","45.73750285"
